"lemma","poscode","surface"
"TJ","3","Tribunal de Justica","TJ"
"STF","3","Supremo Tribunal Federal","STF"
"STJ","3","Supremo Tribunal de Justica","STJ"
"TST","3","Tribunal Superior do Trabalho","TST"
"TRT","3","Tribunal Regional do Trabalho","TRT"
"TRF","3","Tribunal Regional Federal","TRF"
"TJ-AC","3","Tribunal de Justiça do Estado do Acre","TJ-AC"
"TJ-MT","3","Tribunal de Justiça do Estado do Mato Grosso","TJ-MT"
"TJ-PA","3","Tribunal de Justiça do Estado do Pará","TJ-PA"
"TJ-MS","3","Tribunal de Justiça do Estado do Mato Grosso do Sul","TJ-MS"
"TJ-MA","3","Tribunal de Justiça do Estado de Maranhão","TJ-MA"
"TJ-MG","3","Tribunal de Justiça do Estado de Minas Gerais","TJ-MG"
"TJ-ES","3","Tribunal de Justiça do Estado do Espirito Santo","TJ-ES"
"TJ-GO","3","Tribunal de Justiça do Estado de Goias","TJ-GO"
"TJ-CE","3","Tribunal de Justiça do Estado do Ceará","TJ-CE"
"TJ-DF","3","Tribunal de Justiça do Distrito Federal","TJ-DF"
"TJ-AP","3","Tribunal de Justiça do Estado do Amapá","TJ-AP"
"TJ-BA","3","Tribunal de Justiça do Estado de Bahia","TJ-BA"
"TJ-AL","3","Tribunal de Justiça do Estado de Alagoas","TJ-AL"
"TJ-AM","3","Tribunal de Justiça do Estado do Amazonas","TJ-AM"
"TJ-RR","3","Tribunal de Justiça do Estado do Roraima","TJ-RR"
"TJ-RN","3","Tribunal de Justiça do Estado do Rio Grande de Norte","TJ-RN"
"TJ-RJ","3","Tribunal de Justiça do Estado do Rio de Janeiro","TJ-RJ"
"TJ-RO","3","Tribunal de Justiça do Estado de Rondônia","TJ-RO"
"TJ-PI","3","Tribunal de Justiça do Estado do Paiuí","TJ-PI"
"TJ-PR","3","Tribunal de Justiça do Estado de Paraná","TJ-PR"
"TJ-PB","3","Tribunal de Justiça do Estado de Paraíba","TJ-PB"
"TJ-PE","3","Tribunal de Justiça do Estado de Pernambuco","TJ-PE"
"TJ-TO","3","Tribunal de Justiça do Estado do Tocantins","TJ-TO"
"TJ-SE","3","Tribunal de Justiça do Estado do Sergipe","TJ-SE"
"TJ-SP","3","Tribunal de Justiça do Estado de Sao Paulo","TJ-SP"
"TJ-RS","3","Tribunal de Justiça do Estado do Rio Grande do Sul","TJ-RS"
"TJ-SC","3","Tribunal de Justiça do Estado de Santa Catarina","TJ-SC"
"TRF-4","3","Tribunal Regional Federal da 4ª Região (Rio Grande do Sul)","TRF-4"
"TRF-3","3","Tribunal Regional Federal da 3ª Região (Minas Gerais)","TRF-3"
"TRF-2","3","Tribunal Regional Federal da 2ª Região (Sªo Paulo - Capital)","TRF-2"
"TRF-1","3","Tribunal Regional Federal da 1ª Região (Rio de Janeiro)","TRF-1"
"TRF-5","3","Tribunal Regional Federal da 5ª Região (Bahia)","TRF-5"
"TRT-19","3","Tribunal Regional do Trabalho da 19ª Região (Alagoas)","TRT-19"
"TRT-18","3","Tribunal Regional do Trabalho da 18ª Região (Goiªs)","TRT-18"
"TRT-17","3","Tribunal Regional do Trabalho da 17ª Região (Espªrito Santo)","TRT-17"
"TRT-16","3","Tribunal Regional do Trabalho da 16ª Região (Maranhão)","TRT-16"
"TRT-15","3","Tribunal Regional do Trabalho da 15ª Região (Campinas)","TRT-15"
"TRT-14","3","Tribunal Regional do Trabalho da 14ª Região (Acre e Rondônia)","TRT-14"
"TRT-13","3","Tribunal Regional do Trabalho da 13ª Região (Paraíba)","TRT-13"
"TRT-12","3","Tribunal Regional do Trabalho da 12ª Região (Santa Catarina)","TRT-12"
"TRT-11","3","Tribunal Regional do Trabalho da 11ª Região (Amazonas e Roraima)","TRT-11"
"TRT-10","3","Tribunal Regional do Trabalho da 10ª Região (Distrito Federal e Tocantins)","TRT-10"
"TRT-9","3","Tribunal Regional do Trabalho da 9ª Região (Paraná)","TRT-9"
"TRT-8","3","Tribunal Regional do Trabalho da 8ª Região (Pará e Amapá)","TRT-8"
"TRT-7","3","Tribunal Regional do Trabalho da 7ª Região (Ceará)","TRT-7"
"TRT-6","3","Tribunal Regional do Trabalho da 6ª Região (Pernambuco)","TRT-6"
"TRT-5","3","Tribunal Regional do Trabalho da 5ª Região (Bahia)","TRT-5"
"TRT-4","3","Tribunal Regional do Trabalho da 4ª Região (Rio Grande do Sul)","TRT-4"
"TRT-3","3","Tribunal Regional do Trabalho da 3ª Região (Minas Gerais)","TRT-3"
"TRT-2","3","Tribunal Regional do Trabalho da 2ª Região (Sªo Paulo - Capital)","TRT-2"
"TRT-1","3","Tribunal Regional do Trabalho da 1ª Região (Rio de Janeiro)","TRT-1"
"TRT-24","3","Tribunal Regional do Trabalho da 24ª Região (Mato Grosso do Sul)","TRT-24"
"TRT-23","3","Tribunal Regional do Trabalho da 23ª Região (Mato Grosso)","TRT-23"
"TRT-22","3","Tribunal Regional do Trabalho da 22ª Região (Paiuí)","TRT-22"
"TRT-21","3","Tribunal Regional do Trabalho da 21ª Região (Rio Grande do Norte)","TRT-21"
"TRT-20","3","Tribunal Regional do Trabalho da 20ª Região (Sergipe)","TRT-20"
