lemma,poscode,surface
TJAC,3,Tribunal de Justiça do Estado do Acre
TJAL,3,Tribunal de Justiça do Estado de Alagoas
TJAM,3,Tribunal de Justiça do Estado do Amazonas
TJAP,3,Tribunal de Justiça do Estado do Amapá
TJBA,3,Tribunal de Justiça do Estado de Bahia
TJCE,3,Tribunal de Justiça do Estado do Ceará
TJDF,3,Tribunal de Justiça do Distrito Federal
TJES,3,Tribunal de Justiça do Estado do Espirito Santo
TJGO,3,Tribunal de Justiça do Estado de Goias
TJMA,3,Tribunal de Justiça do Estado de Maranhão
TJMG,3,Tribunal de Justiça do Estado de Minas Gerais
TJMS,3,Tribunal de Justiça do Estado do Mato Grosso do Sul
TJMT,3,Tribunal de Justiça do Estado do Mato Grosso
TJPA,3,Tribunal de Justiça do Estado do Pará
TJPB,3,Tribunal de Justiça do Estado de Paraíba
TJPE,3,Tribunal de Justiça do Estado de Pernambuco
TJPI,3,Tribunal de Justiça do Estado do Piauí
TJPR,3,Tribunal de Justiça do Estado de Paraná
TJRJ,3,Tribunal de Justiça do Estado do Rio de Janeiro
TJRN,3,Tribunal de Justiça do Estado do Rio Grande de Norte
TJRO,3,Tribunal de Justiça do Estado de Rondônia
TJRR,3,Tribunal de Justiça do Estado do Roraima
TJRS,3,Tribunal de Justiça do Estado do Rio Grande do Sul
TJSC,3,Tribunal de Justiça do Estado de Santa Catarina
TJSE,3,Tribunal de Justiça do Estado do Sergipe
TJSP,3,Tribunal de Justiça do Estado de Sao Paulo
TJTO,3,Tribunal de Justiça do Estado do Tocantins
TRF1,3,Tribunal Regional da 1ª Região
TRF2,3,Tribunal Regional da 2ª Região
TRF3,3,Tribunal Regional da 3ª Região
TRF4,3,Tribunal Regional da 4ª Região
TRF5,3,Tribunal Regional da 5ª Região
TRF6,3,Tribunal Regional da 6ª Região
TRF7,3,Tribunal Regional da 7ª Região
TRF8,3,Tribunal Regional da 8ª Região
TRF9,3,Tribunal Regional da 9ª Região
