lemma,poscode,surface
TJ-AC,3,Tribunal de Justiça do Estado do Acre
TJ-AL,3,Tribunal de Justiça do Estado de Alagoas
TJ-AM,3,Tribunal de Justiça do Estado do Amazonas
TJ-AP,3,Tribunal de Justiça do Estado do Amapá
TJ-BA,3,Tribunal de Justiça do Estado de Bahia
TJ-CE,3,Tribunal de Justiça do Estado do Ceará
TJ-DF,3,Tribunal de Justiça do Distrito Federal
TJ-ES,3,Tribunal de Justiça do Estado do Espirito Santo
TJ-GO,3,Tribunal de Justiça do Estado de Goias
TJ-MA,3,Tribunal de Justiça do Estado de Maranhão
TJ-MG,3,Tribunal de Justiça do Estado de Minas Gerais
TJ-MS,3,Tribunal de Justiça do Estado do Mato Grosso do Sul
TJ-MT,3,Tribunal de Justiça do Estado do Mato Grosso
TJ-PA,3,Tribunal de Justiça do Estado do Pará
TJ-PB,3,Tribunal de Justiça do Estado de Paraíba
TJ-PE,3,Tribunal de Justiça do Estado de Pernambuco
TJ-PI,3,Tribunal de Justiça do Estado do Piauí
TJ-PR,3,Tribunal de Justiça do Estado de Paraná
TJ-RJ,3,Tribunal de Justiça do Estado do Rio de Janeiro
TJ-RN,3,Tribunal de Justiça do Estado do Rio Grande de Norte
TJ-RO,3,Tribunal de Justiça do Estado de Rondônia
TJ-RR,3,Tribunal de Justiça do Estado do Roraima
TJ-RS,3,Tribunal de Justiça do Estado do Rio Grande do Sul
TJ-SC,3,Tribunal de Justiça do Estado de Santa Catarina
TJ-SE,3,Tribunal de Justiça do Estado do Sergipe
TJ-SP,3,Tribunal de Justiça do Estado de Sao Paulo
TJ-TO,3,Tribunal de Justiça do Estado do Tocantins
