lemma,poscode,surface
TRT-1,3,Tribunal Regional do Trabalho da 1ª Região (Rio de Janeiro)
TRT-2,3,Tribunal Regional do Trabalho da 2ª Região (São Paulo - Capital)
TRT-3,3,Tribunal Regional do Trabalho da 3ª Região (Minas Gerais)
TRT-4,3,Tribunal Regional do Trabalho da 4ª Região (Rio Grande do Sul)
TRT-5,3,Tribunal Regional do Trabalho da 5ª Região (Bahia)
TRT-6,3,Tribunal Regional do Trabalho da 6ª Região (Pernambuco)
TRT-7,3,Tribunal Regional do Trabalho da 7ª Região (Ceará)
TRT-8,3,Tribunal Regional do Trabalho da 8ª Região (Pará e Amapá)
TRT-9,3,Tribunal Regional do Trabalho da 9ª Região (Paraná)
TRT-10,3,Tribunal Regional do Trabalho da 10ª Região (Distrito Federal e Tocantins)
TRT-11,3,Tribunal Regional do Trabalho da 11ª Região (Amazonas e Roraima)
TRT-12,3,Tribunal Regional do Trabalho da 12ª Região (Santa Catarina)
TRT-13,3,Tribunal Regional do Trabalho da 13ª Região (Paraíba)
TRT-14,3,Tribunal Regional do Trabalho da 14ª Região (Acre e Rondônia)
TRT-15,3,Tribunal Regional do Trabalho da 15ª Região (Campinas)
TRT-16,3,Tribunal Regional do Trabalho da 16ª Região (Maranhão)
TRT-17,3,Tribunal Regional do Trabalho da 17ª Região (Espírito Santo)
TRT-18,3,Tribunal Regional do Trabalho da 18ª Região (Goiás)
TRT-19,3,Tribunal Regional do Trabalho da 19ª Região (Alagoas)
TRT-20,3,Tribunal Regional do Trabalho da 20ª Região (Sergipe)
TRT-21,3,Tribunal Regional do Trabalho da 21ª Região (Rio Grande do Norte)
TRT-22,3,Tribunal Regional do Trabalho da 22ª Região (Piauí)
TRT-23,3,Tribunal Regional do Trabalho da 23ª Região (Mato Grosso)
TRT-24,3,Tribunal Regional do Trabalho da 24ª Região (Mato Grosso do Sul)

